location_block,text_general_code,crime_type,crime_x,crime_y,lat,lng
2900 BLOCK N 27TH ST,Homicide - Criminal,Violent Crime,-75.17472798,40.0000893,40.00008930300004,-75.17472798499995
800 BLOCK N 40TH ST,Homicide - Criminal,Violent Crime,-75.20313967,39.96749313,39.96749313200007,-75.20313966599997
6700 BLOCK MARSDEN ST,Homicide - Criminal,Violent Crime,-75.04678325,40.02495519,40.02495518600006,-75.04678324599996
4200 BLOCK ROMAIN ST,Homicide - Criminal,Violent Crime,-75.09041914,40.01030314,40.010303141000065,-75.09041913599998
5400 BLOCK BALTIMORE AV,Homicide - Criminal,Violent Crime,-75.23320125,39.9475219,39.94752189500008,-75.23320125199996
2400 BLOCK N MYRTLEWOOD ST,Homicide - Criminal,Violent Crime,-75.18052682,39.99325827,39.99325827400003,-75.18052681799998
2400 BLOCK N MYRTLEWOOD ST,Homicide - Criminal,Violent Crime,-75.18052682,39.99325827,39.99325827400003,-75.18052681799998
0 BLOCK S 60TH ST,Homicide - Criminal,Violent Crime,-75.24090076,39.96159247,39.96159247200006,-75.24090076099998
2700 BLOCK N RINGGOLD ST,Homicide - Criminal,Violent Crime,-75.17112902,39.9971668,39.99716679800008,-75.17112901499996
1300 BLOCK S 30TH ST,Homicide - Criminal,Violent Crime,-75.19363517,39.93718855,39.937188545000026,-75.19363516599998
100 BLOCK HANSBERRY ST,Homicide - Criminal,Violent Crime,-75.16891594,40.0294055,40.02940550400007,-75.16891593599996
